STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,1/1/11,27,0.83,.,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,1/11/11,.,.,0.29,2.5,2.5,.,.,.,0.3,0.3,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,1/20/11,.,.,0.42,3.3,.,.,.,.,.,0.4,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,2/21/11,3,1.26,.,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,2/25/11,6,1.24,.,.,3.3,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,2/28/11,3,1.85,.,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/5/11,.,.,1.56,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/8/11,3,0.04,.,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/9/11,.,.,0.42,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/10/11,.,.,0.04,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/15/11,5,0.65,.,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/17/11,6,0.02,.,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/19/11,.,.,0.34,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,3/20/11,.,.,0.32,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/4/11,.,.,0.38,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/8/11,.,.,0.06,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/9/11,.,.,0.98,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/11/11,.,.,0.4,.,.,.,.,.,.,.,.,,,,,
US1ILCE0008,"CHARLESTON 4.7 SSW, IL US",39.418542,-88.194901,181.4,4/18/11,7,0.42,0,0,.,.,.,.,.,.,.,,,,,
