rowID,snakeID,day,month,year,count,time,tempC,alive,rd.meter,northerly,westerly,orientation,orientCode,fence.bucket,sex,gravid,gut,svl,tl,mass,bci,recap,fecund,comments
1,1,16,10,2010,1389,.,58,Y,.,.,.,.,.,.,F,N,N,254,57,5.95,0.023425197,N,.,.
2,2,16,10,2010,1389,.,58,Y,.,.,.,.,.,.,M,N,N,153,46,2.12,0.013856209,N,.,.
3,3,16,10,2010,1389,.,58,Y,.,.,.,.,.,.,F,N,N,169,42,2.2,0.013017751,N,.,.
4,4,16,10,2010,1389,.,58,Y,.,.,.,.,.,.,M,N,N,124,36,1.26,0.01016129,N,.,.
5,5,16,10,2010,1389,.,58,Y,.,.,.,.,.,.,F,N,N,164,43,2.45,0.014939024,N,.,.
6,6,16,10,2010,1389,.,58,Y,.,.,.,.,.,.,F,N,N,153,40,1.69,0.011045752,N,.,.
7,7,16,10,2010,1389,.,58,Y,.,.,.,.,.,.,F,N,N,158,43,1.74,0.011012658,N,.,.
8,8,16,10,2010,1389,.,58,Y,.,.,.,.,.,.,F,N,N,267,37,7.77,0.029101124,N,.,Stubbed Tail
9,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,M,N,N,135,44,1.68,0.012444444,N,.,.
10,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,5.59,.,N,.,.
11,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,1.33,.,N,.,.
12,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,1.39,.,N,.,.
13,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,3.57,.,N,.,.
14,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,F,N,N,260,61,7.19,0.027653846,N,.,.
15,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,F,N,N,155,37,2.01,0.012967742,N,.,.
16,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,175,44,2.64,0.015085714,N,.,.
17,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,1.77,.,N,.,.
18,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,2.62,.,N,.,.
19,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,1.16,.,N,.,.
20,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,0.62,.,N,.,Dessicated
21,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,1.76,.,N,.,Dessicated
22,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,1.13,.,N,.,Dessicated
23,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,.,.,N,.,Dessicated; mass <1 g
24,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,.,.,N,.,Dessicated; mass <1 g
25,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,.,.,N,.,Dessicated; mass <1 g
26,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,.,.,N,.,Dessicated; mass <1 g
27,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,.,.,N,.,Dessicated; mass <1 g
28,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,.,.,N,.,Dessicated; mass <1 g
29,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,.,.,N,.,Dessicated; mass <1 g
30,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,.,.,N,.,Dessicated; mass <1 g
31,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,.,.,N,.,Dessicated; mass <1 g
32,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,.,N,N,.,.,0.76,.,N,.,Dessicated
33,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,F,N,N,.,.,5.78,.,N,.,Mutilated tail
34,.,16,10,2010,1389,.,58,N,.,.,.,.,.,.,F,N,N,295,45,10.26,0.034779661,N,.,Stubbed Tail
35,9,17,10,2010,1106,.,62,Y,.,.,.,.,.,.,F,N,N,156,39,2.1,0.013461538,N,.,.
36,11,17,10,2010,1106,.,62,Y,.,.,.,.,.,.,M,N,N,258,83,6.7,0.025968992,N,.,.
37,12,17,10,2010,1106,.,62,Y,.,.,.,.,.,.,M,N,N,156,52,1.92,0.012307692,N,.,.
38,13,17,10,2010,1106,.,62,Y,.,.,.,.,.,.,F,N,N,168,40,2.25,0.013392857,N,.,.
39,14,17,10,2010,1106,.,62,Y,.,.,.,.,.,.,F,N,N,125,32,1.24,0.00992,N,.,.
40,15,17,10,2010,1106,.,62,Y,.,.,.,.,.,.,F,N,N,134,37,1.32,0.009850746,N,.,.
41,16,17,10,2010,1106,.,62,Y,.,.,.,.,.,.,F,N,N,190,44,2.93,0.015421053,N,.,.
42,17,17,10,2010,1106,.,62,Y,.,.,.,.,.,.,F,N,N,164,40,1.81,0.011036585,N,.,.
43,18,17,10,2010,1106,.,62,Y,.,.,.,.,.,.,M,N,N,164,46,2.2,0.013414634,N,.,.
44,19,17,10,2010,1106,.,62,Y,.,.,.,.,.,.,M,N,N,168,51,2.17,0.012916667,N,.,.
45,31,17,10,2010,1106,.,62,Y,.,.,.,.,.,.,M,N,N,138,44,1.34,0.009710145,N,.,Second ventral(half) not counted
